parent_taxon_id,taxon_id,rank_level,leaf_class_id,name
48526,781703,30,,Viburnaceae
781703,54774,20,,Viburnum
54774,82247,10,64,Viburnum dentatum
54774,129977,10,344,Viburnum prunifolium
54774,63166,10,1140,Viburnum lantanoides
54774,55969,10,1723,Viburnum opulus
54774,62997,10,1960,Viburnum acerifolium
54774,81801,10,2068,Viburnum rufidulum
781703,52689,20,,Sambucus
52689,57824,10,643,Sambucus racemosa
57824,57826,5,97,Sambucus racemosa racemosa
52689,765394,10,273,Sambucus nigra
52689,84300,10,820,Sambucus canadensis
52689,143799,10,907,Sambucus cerulea
48526,48527,30,,Caprifoliaceae
48527,345605,27,,Caprifolioideae
345605,51874,20,,Lonicera
51874,1072552,15,,Lonicera
1072552,1072574,13,,Lonicera
1072574,82342,10,83,Lonicera maackii
1072574,59773,10,526,Lonicera morrowii
1072574,77836,10,1003,Lonicera tatarica
1072552,1072557,12,,Distegiae
1072557,60881,10,821,Lonicera involucrata
1072552,1072577,13,,Nintooa
1072577,77835,10,1002,Lonicera japonica
1072552,119807,10,1259,Lonicera canadensis
51874,1072514,15,,Caprifolium
1072514,77832,10,1001,Lonicera ciliosa
1072514,53416,10,1058,Lonicera hispidula
1072514,119808,10,1260,Lonicera dioica
1072514,119809,10,1261,Lonicera sempervirens
345605,48528,20,,Symphoricarpos
48528,53456,10,1074,Symphoricarpos mollis
48528,48523,10,1094,Symphoricarpos albus
48528,128838,10,1494,Symphoricarpos orbiculatus
345605,127413,20,,Leycesteria
127413,127412,10,1122,Leycesteria formosa
48527,345609,27,,Valerianoideae
345609,55754,20,,Valerianella
55754,82819,10,210,Valerianella radiata
345609,56161,20,,Valeriana
56161,79477,10,1448,Valeriana sitchensis
345609,57286,20,,Centranthus
57286,57283,10,2084,Centranthus ruber
48527,345604,27,,Diervilloideae
345604,52759,20,,Diervilla
52759,67983,10,532,Diervilla lonicera
48527,345606,27,,Linnaeoideae
345606,63137,20,,Linnaea
63137,77780,10,991,Linnaea borealis
48527,345608,27,,Dipsacoideae
345608,372380,20,,Sixalix
372380,372376,10,1294,Sixalix atropurpurea
345608,53030,20,,Dipsacus
53030,56002,10,1734,Dipsacus fullonum
47124,47363,40,,Gentianales
47363,47693,30,,Rubiaceae
47693,788064,27,,Rubioideae
788064,636436,25,,Anthospermeae
636436,70254,20,,Coprosma
70254,197055,10,88,Coprosma foetidissima
70254,197056,10,89,Coprosma lucida
70254,76435,10,599,Coprosma repens
70254,1141162,10,1164,Coprosma autumnalis
70254,366658,10,1542,Coprosma propinqua
70254,366661,10,1543,Coprosma robusta
70254,366662,10,1544,Coprosma rotundifolia
70254,366659,10,1745,Coprosma rhamnoides
788064,788088,25,,Spermacoceae
788088,147991,20,,Bouvardia
147991,147990,10,117,Bouvardia ternifolia
788088,69749,20,,Houstonia
69749,69752,10,164,Houstonia caerulea
69749,125101,10,486,Houstonia pusilla
788088,48375,20,,Stenaria
48375,48364,10,1877,Stenaria nigricans
788088,72096,20,,Diodia
72096,131003,10,1973,Diodia virginiana
788064,788074,25,,Mitchelleae
788074,83800,20,,Mitchella
83800,83799,10,402,Mitchella repens
788064,788083,25,,Rubieae
788083,53060,20,,Galium
53060,84328,10,522,Galium verum
53060,77188,10,793,Galium boreale
53060,53059,10,930,Galium aparine
53060,53065,10,933,Galium triflorum
788083,47692,20,,Sherardia
47692,47691,10,1724,Sherardia arvensis
788064,788075,25,,Morindeae
788075,121024,20,,Morinda
121024,121022,10,1578,Morinda citrifolia
47693,788062,27,,Cinchonoideae
788062,788055,25,,Hamelieae
788055,126306,20,,Hamelia
126306,126305,10,780,Hamelia patens
788062,777272,25,,Naucleeae
777272,52728,20,,Cephalanthus
52728,52763,10,845,Cephalanthus occidentalis
47363,47362,30,,Apocynaceae
47362,427366,27,,Apocynoideae
427366,632335,25,,Apocyneae
632335,632344,24,,Apocyinae
632344,47361,20,,Apocynum
47361,58795,10,112,Apocynum cannabinum
47361,47359,10,1591,Apocynum androsaemifolium
427366,632356,25,,Echiteae
632356,632364,24,,Parsonsiinae
632364,273071,20,,Parsonsia
273071,366734,10,1569,Parsonsia heterophylla
427366,632351,25,,Nerieae
632351,632352,24,,Neriinae
632352,47564,20,,Nerium
47564,47563,10,1650,Nerium oleander
47362,487323,27,,Rauvolfioideae
487323,632405,25,,Plumerieae
632405,632676,24,,Plumeriinae
632676,48319,20,,Plumeria
48319,123438,10,124,Plumeria rubra
487323,632390,25,,Vinceae
632390,632394,24,,Vincinae
632394,53327,20,,Vinca
53327,53326,10,1030,Vinca major
53327,55844,10,1682,Vinca minor
632390,632395,24,,Catharanthinae
632395,62926,20,,Catharanthus
62926,62924,10,1381,Catharanthus roseus
47362,373579,27,,Asclepiadoideae
373579,632307,25,,Asclepiadeae
632307,632315,24,,Gonolobinae
632315,72227,20,,Matelea
72227,165186,10,280,Matelea biflora
72227,165197,10,283,Matelea reticulata
632315,185448,20,,Gonolobus
185448,200074,10,1093,Gonolobus suberosus
632307,632069,24,,Asclepiadinae
632069,47906,20,,Asclepias
47906,58796,10,303,Asclepias eriocarpa
47906,75602,10,401,Asclepias curassavica
47906,125379,10,545,Asclepias verticillata
47906,125381,10,546,Asclepias incarnata
47906,125386,10,548,Asclepias exaltata
47906,158753,10,703,Asclepias oenotheroides
47906,158763,10,705,Asclepias viridiflora
47906,60946,10,842,Asclepias viridis
47906,127691,10,1068,Asclepias variegata
47906,62248,10,1209,Asclepias cordifolia
47906,62292,10,1217,Asclepias speciosa
47906,62296,10,1265,Asclepias latifolia
47906,62298,10,1269,Asclepias asperula
47906,120152,10,1353,Asclepias perennis
47906,129548,10,1671,Asclepias quadrifolia
47906,47910,10,1765,Asclepias amplexicaulis
47906,47911,10,1766,Asclepias syriaca
47906,47912,10,1767,Asclepias tuberosa
47906,62295,10,1782,Asclepias linaria
47906,56851,10,1955,Asclepias fascicularis
47363,71518,30,,Gelsemiaceae
71518,83071,20,,Gelsemium
83071,83070,10,257,Gelsemium sempervirens
47363,56235,30,,Gentianaceae
56235,794428,25,,Chironieae
794428,794437,24,,Chironiinae
794437,84665,20,,Sabatia
84665,84666,10,610,Sabatia angularis
84665,84668,10,612,Sabatia campestris
794437,72131,20,,Eustoma
72131,77125,10,801,Eustoma exaltatum
794437,56234,20,,Centaurium
